"date","category","earned","earned_cumulative","budget","planned_cumulative"
"04/02/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/02/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/02/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/02/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/02/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/02/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/02/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/02/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/02/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/02/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/02/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/03/2018","",NA,NA,4.37554,NA
"04/03/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/03/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/03/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/03/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/03/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/03/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/03/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/03/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/03/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/03/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/03/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/03/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/03/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/03/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/03/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/03/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/03/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/04/2018","",NA,NA,4.37554,NA
"04/04/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/04/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/04/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/04/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/04/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/04/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/04/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/04/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/04/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/04/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/04/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/04/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/04/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/04/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/04/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/04/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/04/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/05/2018","",NA,NA,4.37554,NA
"04/05/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/05/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/05/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/05/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/05/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/05/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/05/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/05/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/05/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/05/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/05/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/05/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/05/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/05/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/05/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/05/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/05/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/06/2018","",NA,NA,4.37554,NA
"04/06/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/06/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/06/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/06/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/06/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/06/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/06/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/06/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/06/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/06/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/06/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/06/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/06/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/06/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/06/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/06/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/06/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/07/2018","",NA,NA,4.37554,NA
"04/07/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/07/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/07/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/07/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/07/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/07/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/07/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/07/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/07/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/07/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/07/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/07/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/07/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/07/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/07/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/07/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/07/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/08/2018","",NA,NA,4.37554,NA
"04/08/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/08/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/08/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/08/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/08/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/08/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/08/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/08/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/08/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/08/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/08/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/08/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/08/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/08/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/08/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/08/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"04/08/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/09/2018","",NA,NA,4.37554,NA
"04/09/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/09/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/09/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/09/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/09/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/09/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/09/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"04/09/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/09/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"04/09/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/09/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/09/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/09/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/09/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/09/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/09/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,75.76
"04/09/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/10/2018","",0.02384,0.35481,4.37554,NA
"04/10/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/10/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"04/10/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/10/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/10/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"04/10/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"04/10/2018","P7.2.012 Piling",16.1025000228,60.3843750855,12438.475017612,NA
"04/10/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"04/10/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,1003.2
"04/10/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"04/10/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"04/10/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/10/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/10/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/10/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/10/2018","P7.2.062 Earthworks and Access Tracks",NA,1482.22092082043,1806.15920716332,1159.95
"04/10/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/11/2018","",NA,1.4412359,4.37554,NA
"04/11/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/11/2018","P7.2.003 PV Module Supply",NA,NA,NA,2.26
"04/11/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,4.64
"04/11/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/11/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/11/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,71.45
"04/11/2018","P7.2.011 Roads and PCU Earthworks",896.885496858117,896.885496858117,4480.34095470976,1726.58
"04/11/2018","P7.2.012 Piling",260.7710420359,5682.78177887976,12438.475017612,1412.01
"04/11/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,432
"04/11/2018","P7.2.015 Fencing & Gates",145.281978,388.490958,2220.801105,2200
"04/11/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,33.39
"04/11/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,42.7858838469103,93792,NA
"04/11/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/11/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/11/2018","P7.2.054 Shipping - Piles (FOB China to Site)",NA,NA,NA,1.96
"04/11/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/11/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"04/11/2018","P7.2.062 Earthworks and Access Tracks",NA,1680.94097811602,1806.15920716332,1159.95
"04/11/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"04/12/2018","",NA,2.6724885,4.37554,NA
"04/12/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"04/12/2018","P7.2.003 PV Module Supply",NA,NA,NA,6.52999999999999
"04/12/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,7.86
"04/12/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"04/12/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"04/12/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,1187.53
"04/12/2018","P7.2.011 Roads and PCU Earthworks",NA,1775.93998164603,4480.34095470976,2974.86
"04/12/2018","P7.2.012 Piling",NA,11343.3873077281,12438.475017612,4253.18
"04/12/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",14.1838994192077,137.189424800634,14114.5575031047,2508.47
"04/12/2018","P7.2.015 Fencing & Gates",NA,1123.578840375,2220.801105,2200
"04/12/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,1583.29
"04/12/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",1098.19417664248,11072.2683482808,93792,16802.82
"04/12/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"04/12/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"04/12/2018","P7.2.054 Shipping - Piles (FOB China to Site)",NA,NA,NA,4.06
"04/12/2018","P7.2.057 Landscaping",NA,NA,600,NA
"04/12/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,183.2
"04/12/2018","P7.2.062 Earthworks and Access Tracks",NA,1680.94097811602,1806.15920716332,1159.95
"04/12/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/01/2018","",NA,NA,4.37554,NA
"05/01/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/01/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/01/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/01/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/01/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/01/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/01/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/01/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/01/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/01/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/01/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/01/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/01/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/01/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/01/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/01/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/01/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/02/2018","",NA,NA,4.37554,NA
"05/02/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/02/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/02/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/02/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/02/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/02/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/02/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/02/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/02/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/02/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/02/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/02/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/02/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/02/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/02/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/02/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/02/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/03/2018","",NA,NA,4.37554,NA
"05/03/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/03/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/03/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/03/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/03/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/03/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/03/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/03/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/03/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/03/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/03/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/03/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/03/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/03/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/03/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/03/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/03/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/04/2018","",NA,NA,4.37554,NA
"05/04/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/04/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/04/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/04/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/04/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/04/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/04/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/04/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/04/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/04/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/04/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/04/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/04/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/04/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/04/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/04/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/04/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/05/2018","",NA,NA,4.37554,NA
"05/05/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/05/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/05/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/05/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/05/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/05/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/05/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/05/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/05/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/05/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/05/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/05/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/05/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/05/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/05/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/05/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/05/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/06/2018","",NA,NA,4.37554,NA
"05/06/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/06/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/06/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/06/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/06/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/06/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/06/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/06/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/06/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/06/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/06/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/06/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/06/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/06/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/06/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/06/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/06/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/07/2018","",NA,NA,4.37554,NA
"05/07/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/07/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/07/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/07/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/07/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/07/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/07/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/07/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/07/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/07/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/07/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/07/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/07/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/07/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/07/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/07/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/07/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/08/2018","",NA,NA,4.37554,NA
"05/08/2018","LOGISTIC Install PCU on Position",NA,NA,290,NA
"05/08/2018","P7.2.004 Tracker Supply and Testing on Field",NA,NA,1120,NA
"05/08/2018","P7.2.005 Inverters Supply & Commissioning on Field",NA,NA,580,NA
"05/08/2018","P7.2.007 Substation - Transformer Supply & Installation (Siemens)",NA,NA,500,NA
"05/08/2018","P7.2.010 Foundations Substation)",NA,NA,4499.99999999999,NA
"05/08/2018","P7.2.011 Roads and PCU Earthworks",NA,NA,4480.34095470976,NA
"05/08/2018","P7.2.012 Piling",NA,9.3931250133,12438.475017612,NA
"05/08/2018","P7.2.013 UG Cable installation (MV, DC, FOC)",NA,NA,14114.5575031047,NA
"05/08/2018","P7.2.015 Fencing & Gates",NA,NA,2220.801105,NA
"05/08/2018","P7.2.019 Electrical Solar Farm",NA,NA,35970.2937714286,NA
"05/08/2018","P7.2.023 Mechanical Installation (Tracker and Panel)",NA,NA,93792,NA
"05/08/2018","P7.2.025 Switchyard / Control Build Install Electrical Scope",NA,NA,4620,NA
"05/08/2018","P7.2.036 O&M Buildings EPC",NA,NA,7225,NA
"05/08/2018","P7.2.057 Landscaping",NA,NA,600,NA
"05/08/2018","P7.2.058 Meteorological Stations Supply & Install",NA,NA,450,NA
"05/08/2018","P7.2.062 Earthworks and Access Tracks",NA,NA,1806.15920716332,NA
"05/08/2018","P7.2.064 Downer Commissioning",NA,NA,1917,NA
"05/09/2018","",NA,NA,4.37554,NA
